Hop	AUROC	AUPRC	F1	Sensitivity	Specificity	Accuracy
0	0.870	0.869	0.755	0.834	0.795	0.803
1	0.8917	0.8969	0.8192	0.8324	0.8100	0.8212
2	0.907	0.911	0.828	0.837	0.833	0.832
3	0.8908	0.8903	0.8177	0.8346	0.8060	0.8203

CNN_Embedding	AUROC	AUPRC	F1	Sensitivity	Specificity	Accuracy
32	0.9033	0.9078	0.8318	0.7756	0.8719	0.8238
64	0.8980	0.8972	0.8328	0.8244	0.8388	0.8316
128	0.907	0.911	0.828	0.837	0.833	0.832
256	0.8892	0.8895	0.8205	0.8288	0.8148	0.8218

| LR | AUROC | AUPRC | F1 | Sensitivity | Specificity | Accuracy |
|--------|-------|-------|-----|-------------|-------------|----------|
| 1e-04  | 0.9020 | 0.9022 | 0.8365 | 0.8313 | 0.8402 | 0.8358 |
| 5e-05  | 0.907 | 0.911 | 0.828 | 0.837 | 0.833 | 0.832 |
| 1e-05  | 0.8708 | 0.8720 | 0.8061 | 0.7938 | 0.8144 | 0.8041 |

| GCN_Layer | AUROC | AUPRC | F1 | Sensitivity | Specificity | Accuracy |
|-----------|-------|-------|-----|-------------|-------------|----------|
| 1         | 0.8996619498731317 | 0.8987717472553038 | 0.834967 | 0.843351548269581 | 0.8289665211062591 | 0.8361551064991808 |
| 2         | 0.8861970818982774 | 0.8946148547480095 | 0.834967 | 0.7668488160291439 | 0.8471615720524017 | 0.8070271254323684 |
| 3         | 0.907 | 0.911 | 0.828 | 0.837 | 0.833 | 0.832 |
| 4         | 0.8919543406961976 | 0.8954318652845104 | 0.825483 | 0.7868852459016393 | 0.8526200873362445 | 0.8197706171490988 |
