+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4983   |
|  epoch 2  |   0.4187   |
|  epoch 3  |   0.3932   |
|  epoch 4  |   0.3685   |
|  epoch 5  |   0.3488   |
|  epoch 6  |   0.3370   |
|  epoch 7  |   0.3242   |
|  epoch 8  |   0.3104   |
|  epoch 9  |   0.3036   |
|  epoch 10 |   0.2905   |
|  epoch 11 |   0.2797   |
|  epoch 12 |   0.2701   |
|  epoch 13 |   0.2606   |
|  epoch 14 |   0.2491   |
|  epoch 15 |   0.2447   |
|  epoch 16 |   0.2348   |
|  epoch 17 |   0.2228   |
|  epoch 18 |   0.2212   |
|  epoch 19 |   0.2140   |
|  epoch 20 |   0.2091   |
|  epoch 21 |   0.2004   |
|  epoch 22 |   0.1924   |
|  epoch 23 |   0.1943   |
|  epoch 24 |   0.1812   |
|  epoch 25 |   0.1774   |
|  epoch 26 |   0.1733   |
|  epoch 27 |   0.1641   |
|  epoch 28 |   0.1605   |
|  epoch 29 |   0.1554   |
|  epoch 30 |   0.1541   |
|  epoch 31 |   0.1469   |
|  epoch 32 |   0.1465   |
|  epoch 33 |   0.1378   |
|  epoch 34 |   0.1359   |
|  epoch 35 |   0.1334   |
|  epoch 36 |   0.1282   |
|  epoch 37 |   0.1265   |
|  epoch 38 |   0.1227   |
|  epoch 39 |   0.1196   |
|  epoch 40 |   0.1193   |
|  epoch 41 |   0.1148   |
|  epoch 42 |   0.1112   |
|  epoch 43 |   0.1088   |
|  epoch 44 |   0.1054   |
|  epoch 45 |   0.1029   |
|  epoch 46 |   0.0987   |
|  epoch 47 |   0.0966   |
|  epoch 48 |   0.0963   |
|  epoch 49 |   0.0956   |
|  epoch 50 |   0.0922   |
|  epoch 51 |   0.0902   |
|  epoch 52 |   0.0848   |
|  epoch 53 |   0.0921   |
|  epoch 54 |   0.0839   |
|  epoch 55 |   0.0831   |
|  epoch 56 |   0.0828   |
|  epoch 57 |   0.0773   |
|  epoch 58 |   0.0780   |
|  epoch 59 |   0.0753   |
|  epoch 60 |   0.0774   |
|  epoch 61 |   0.0747   |
|  epoch 62 |   0.0740   |
|  epoch 63 |   0.0699   |
|  epoch 64 |   0.0695   |
|  epoch 65 |   0.0706   |
|  epoch 66 |   0.0693   |
|  epoch 67 |   0.0677   |
|  epoch 68 |   0.0608   |
|  epoch 69 |   0.0671   |
|  epoch 70 |   0.0639   |
|  epoch 71 |   0.0627   |
|  epoch 72 |   0.0627   |
|  epoch 73 |   0.0637   |
|  epoch 74 |   0.0630   |
|  epoch 75 |   0.0606   |
|  epoch 76 |   0.0611   |
|  epoch 77 |   0.0556   |
|  epoch 78 |   0.0583   |
|  epoch 79 |   0.0535   |
|  epoch 80 |   0.0558   |
