+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.5966   |
| epoch 2  |   0.5082   |
| epoch 3  |   0.4745   |
| epoch 4  |   0.4506   |
| epoch 5  |   0.4362   |
| epoch 6  |   0.4188   |
| epoch 7  |   0.4050   |
| epoch 8  |   0.3949   |
| epoch 9  |   0.3768   |
| epoch 10 |   0.3637   |
| epoch 11 |   0.3579   |
| epoch 12 |   0.3433   |
| epoch 13 |   0.3281   |
| epoch 14 |   0.3154   |
| epoch 15 |   0.3095   |
| epoch 16 |   0.2985   |
| epoch 17 |   0.2867   |
| epoch 18 |   0.2768   |
| epoch 19 |   0.2654   |
| epoch 20 |   0.2591   |
| epoch 21 |   0.2497   |
| epoch 22 |   0.2415   |
| epoch 23 |   0.2308   |
| epoch 24 |   0.2287   |
| epoch 25 |   0.2172   |
| epoch 26 |   0.2079   |
| epoch 27 |   0.2057   |
| epoch 28 |   0.1994   |
| epoch 29 |   0.1886   |
| epoch 30 |   0.1893   |
| epoch 31 |   0.1800   |
| epoch 32 |   0.1740   |
| epoch 33 |   0.1658   |
| epoch 34 |   0.1656   |
| epoch 35 |   0.1545   |
| epoch 36 |   0.1557   |
| epoch 37 |   0.1474   |
| epoch 38 |   0.1486   |
| epoch 39 |   0.1460   |
| epoch 40 |   0.1374   |
| epoch 41 |   0.1316   |
| epoch 42 |   0.1303   |
| epoch 43 |   0.1320   |
| epoch 44 |   0.1285   |
| epoch 45 |   0.1213   |
| epoch 46 |   0.1209   |
| epoch 47 |   0.1161   |
| epoch 48 |   0.1080   |
| epoch 49 |   0.1166   |
| epoch 50 |   0.1069   |
| epoch 51 |   0.1023   |
| epoch 52 |   0.1027   |
| epoch 53 |   0.0986   |
| epoch 54 |   0.0969   |
| epoch 55 |   0.0956   |
| epoch 56 |   0.0991   |
| epoch 57 |   0.0948   |
| epoch 58 |   0.0898   |
| epoch 59 |   0.0885   |
| epoch 60 |   0.0860   |
| epoch 61 |   0.0835   |
| epoch 62 |   0.0788   |
| epoch 63 |   0.0817   |
| epoch 64 |   0.0812   |
| epoch 65 |   0.0801   |
| epoch 66 |   0.0781   |
| epoch 67 |   0.0779   |
| epoch 68 |   0.0736   |
| epoch 69 |   0.0723   |
| epoch 70 |   0.0735   |
| epoch 71 |   0.0668   |
| epoch 72 |   0.0684   |
| epoch 73 |   0.0664   |
| epoch 74 |   0.0641   |
| epoch 75 |   0.0636   |
| epoch 76 |   0.0670   |
| epoch 77 |   0.0667   |
| epoch 78 |   0.0606   |
| epoch 79 |   0.0610   |
| epoch 80 |   0.0579   |
+----------+------------+
#add epoch
+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.0616   |
| epoch 2  |   0.0557   |
| epoch 3  |   0.0517   |
| epoch 4  |   0.0565   |
| epoch 5  |   0.0542   |
| epoch 6  |   0.0552   |
| epoch 7  |   0.0611   |
| epoch 8  |   0.0540   |
| epoch 9  |   0.0490   |
| epoch 10 |   0.0513   |
| epoch 11 |   0.0493   |
| epoch 12 |   0.0525   |
| epoch 13 |   0.0503   |
| epoch 14 |   0.0452   |
| epoch 15 |   0.0455   |
| epoch 16 |   0.0466   |
| epoch 17 |   0.0419   |
| epoch 18 |   0.0416   |
| epoch 19 |   0.0488   |
| epoch 20 |   0.0474   |
| epoch 21 |   0.0386   |
| epoch 22 |   0.0378   |
| epoch 23 |   0.0434   |
| epoch 24 |   0.0451   |
| epoch 25 |   0.0381   |
+----------+------------+
