+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6199   |
|  epoch 2  |   0.5149   |
|  epoch 3  |   0.4752   |
|  epoch 4  |   0.4531   |
|  epoch 5  |   0.4395   |
|  epoch 6  |   0.4235   |
|  epoch 7  |   0.4102   |
|  epoch 8  |   0.4013   |
|  epoch 9  |   0.3915   |
|  epoch 10 |   0.3815   |
|  epoch 11 |   0.3727   |
|  epoch 12 |   0.3573   |
|  epoch 13 |   0.3499   |
|  epoch 14 |   0.3353   |
|  epoch 15 |   0.3304   |
|  epoch 16 |   0.3192   |
|  epoch 17 |   0.3106   |
|  epoch 18 |   0.3023   |
|  epoch 19 |   0.2953   |
|  epoch 20 |   0.2852   |
|  epoch 21 |   0.2754   |
|  epoch 22 |   0.2682   |
|  epoch 23 |   0.2595   |
|  epoch 24 |   0.2537   |
|  epoch 25 |   0.2502   |
|  epoch 26 |   0.2423   |
|  epoch 27 |   0.2366   |
|  epoch 28 |   0.2277   |
|  epoch 29 |   0.2241   |
|  epoch 30 |   0.2161   |
|  epoch 31 |   0.2120   |
|  epoch 32 |   0.2044   |
|  epoch 33 |   0.2059   |
|  epoch 34 |   0.2001   |
|  epoch 35 |   0.1988   |
|  epoch 36 |   0.1857   |
|  epoch 37 |   0.1844   |
|  epoch 38 |   0.1807   |
|  epoch 39 |   0.1785   |
|  epoch 40 |   0.1690   |
|  epoch 41 |   0.1640   |
|  epoch 42 |   0.1673   |
|  epoch 43 |   0.1611   |
|  epoch 44 |   0.1589   |
|  epoch 45 |   0.1529   |
|  epoch 46 |   0.1524   |
|  epoch 47 |   0.1458   |
|  epoch 48 |   0.1515   |
|  epoch 49 |   0.1444   |
|  epoch 50 |   0.1382   |
|  epoch 51 |   0.1394   |
|  epoch 52 |   0.1384   |
|  epoch 53 |   0.1371   |
|  epoch 54 |   0.1234   |
|  epoch 55 |   0.1244   |
|  epoch 56 |   0.1255   |
|  epoch 57 |   0.1208   |
|  epoch 58 |   0.1146   |
|  epoch 59 |   0.1192   |
|  epoch 60 |   0.1139   |
|  epoch 61 |   0.1135   |
|  epoch 62 |   0.1086   |
|  epoch 63 |   0.1120   |
|  epoch 64 |   0.1067   |
|  epoch 65 |   0.1067   |
|  epoch 66 |   0.1055   |
|  epoch 67 |   0.1012   |
|  epoch 68 |   0.0956   |
|  epoch 69 |   0.1002   |
|  epoch 70 |   0.0910   |
|  epoch 71 |   0.0987   |
|  epoch 72 |   0.1003   |
|  epoch 73 |   0.0898   |
|  epoch 74 |   0.0869   |
|  epoch 75 |   0.0889   |
|  epoch 76 |   0.0912   |
|  epoch 77 |   0.0877   |
|  epoch 78 |   0.0881   |
|  epoch 79 |   0.0845   |
|  epoch 80 |   0.0846   |
|  epoch 81 |   0.0801   |
|  epoch 82 |   0.0800   |
|  epoch 83 |   0.0761   |
|  epoch 84 |   0.0786   |
|  epoch 85 |   0.0775   |
|  epoch 86 |   0.0786   |
|  epoch 87 |   0.0699   |
|  epoch 88 |   0.0738   |
|  epoch 89 |   0.0726   |
|  epoch 90 |   0.0699   |
|  epoch 91 |   0.0678   |
|  epoch 92 |   0.0661   |
|  epoch 93 |   0.0678   |
|  epoch 94 |   0.0707   |
|  epoch 95 |   0.0653   |
|  epoch 96 |   0.0697   |
|  epoch 97 |   0.0641   |
|  epoch 98 |   0.0650   |
|  epoch 99 |   0.0655   |
| epoch 100 |   0.0635   |
| epoch 101 |   0.0621   |
| epoch 102 |   0.0599   |
| epoch 103 |   0.0574   |
| epoch 104 |   0.0612   |
| epoch 105 |   0.0622   |
| epoch 106 |   0.0528   |
| epoch 107 |   0.0594   |
| epoch 108 |   0.0629   |
| epoch 109 |   0.0572   |
| epoch 110 |   0.0541   |
| epoch 111 |   0.0508   |
| epoch 112 |   0.0539   |
| epoch 113 |   0.0563   |
| epoch 114 |   0.0540   |
| epoch 115 |   0.0488   |
| epoch 116 |   0.0522   |
| epoch 117 |   0.0532   |
| epoch 118 |   0.0524   |
| epoch 119 |   0.0489   |
| epoch 120 |   0.0496   |
| epoch 121 |   0.0492   |
| epoch 122 |   0.0523   |
| epoch 123 |   0.0479   |
| epoch 124 |   0.0505   |
| epoch 125 |   0.0502   |
| epoch 126 |   0.0481   |
| epoch 127 |   0.0493   |
| epoch 128 |   0.0452   |
| epoch 129 |   0.0445   |
| epoch 130 |   0.0454   |
| epoch 131 |   0.0415   |
| epoch 132 |   0.0447   |
| epoch 133 |   0.0387   |
| epoch 134 |   0.0431   |
| epoch 135 |   0.0431   |
| epoch 136 |   0.0486   |
| epoch 137 |   0.0409   |
| epoch 138 |   0.0391   |
| epoch 139 |   0.0395   |
| epoch 140 |   0.0381   |
| epoch 141 |   0.0422   |
| epoch 142 |   0.0381   |
| epoch 143 |   0.0392   |
| epoch 144 |   0.0385   |
| epoch 145 |   0.0410   |
| epoch 146 |   0.0406   |
| epoch 147 |   0.0356   |
| epoch 148 |   0.0385   |
| epoch 149 |   0.0387   |
| epoch 150 |   0.0452   |
+-----------+------------+
