+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5605   |
|  epoch 2  |   0.4953   |
|  epoch 3  |   0.4761   |
|  epoch 4  |   0.4570   |
|  epoch 5  |   0.4431   |
|  epoch 6  |   0.4259   |
|  epoch 7  |   0.4118   |
|  epoch 8  |   0.3969   |
|  epoch 9  |   0.3823   |
|  epoch 10 |   0.3667   |
|  epoch 11 |   0.3529   |
|  epoch 12 |   0.3401   |
|  epoch 13 |   0.3258   |
|  epoch 14 |   0.3117   |
|  epoch 15 |   0.2977   |
|  epoch 16 |   0.2877   |
|  epoch 17 |   0.2699   |
|  epoch 18 |   0.2623   |
|  epoch 19 |   0.2548   |
|  epoch 20 |   0.2410   |
|  epoch 21 |   0.2287   |
|  epoch 22 |   0.2200   |
|  epoch 23 |   0.2124   |
|  epoch 24 |   0.2006   |
|  epoch 25 |   0.1911   |
|  epoch 26 |   0.1871   |
|  epoch 27 |   0.1783   |
|  epoch 28 |   0.1715   |
|  epoch 29 |   0.1648   |
|  epoch 30 |   0.1607   |
|  epoch 31 |   0.1558   |
|  epoch 32 |   0.1432   |
|  epoch 33 |   0.1410   |
|  epoch 34 |   0.1325   |
|  epoch 35 |   0.1303   |
|  epoch 36 |   0.1265   |
|  epoch 37 |   0.1195   |
|  epoch 38 |   0.1170   |
|  epoch 39 |   0.1106   |
|  epoch 40 |   0.1060   |
|  epoch 41 |   0.1063   |
|  epoch 42 |   0.1017   |
|  epoch 43 |   0.1001   |
|  epoch 44 |   0.0940   |
|  epoch 45 |   0.0904   |
|  epoch 46 |   0.0865   |
|  epoch 47 |   0.0821   |
|  epoch 48 |   0.0871   |
|  epoch 49 |   0.0782   |
|  epoch 50 |   0.0749   |
|  epoch 51 |   0.0730   |
|  epoch 52 |   0.0771   |
|  epoch 53 |   0.0739   |
|  epoch 54 |   0.0670   |
|  epoch 55 |   0.0632   |
|  epoch 56 |   0.0670   |
|  epoch 57 |   0.0653   |
|  epoch 58 |   0.0620   |
|  epoch 59 |   0.0620   |
|  epoch 60 |   0.0604   |
|  epoch 61 |   0.0540   |
|  epoch 62 |   0.0589   |
|  epoch 63 |   0.0528   |
|  epoch 64 |   0.0565   |
|  epoch 65 |   0.0611   |
|  epoch 66 |   0.0534   |
|  epoch 67 |   0.0493   |
|  epoch 68 |   0.0521   |
|  epoch 69 |   0.0556   |
|  epoch 70 |   0.0515   |
|  epoch 71 |   0.0482   |
|  epoch 72 |   0.0442   |
|  epoch 73 |   0.0430   |
|  epoch 74 |   0.0465   |
|  epoch 75 |   0.0505   |
|  epoch 76 |   0.0458   |
|  epoch 77 |   0.0475   |
|  epoch 78 |   0.0395   |
|  epoch 79 |   0.0399   |
|  epoch 80 |   0.0383   |
|  epoch 81 |   0.0417   |
|  epoch 82 |   0.0443   |
|  epoch 83 |   0.0449   |
|  epoch 84 |   0.0369   |
|  epoch 85 |   0.0404   |
|  epoch 86 |   0.0340   |
|  epoch 87 |   0.0368   |
|  epoch 88 |   0.0393   |
|  epoch 89 |   0.0357   |
|  epoch 90 |   0.0356   |
|  epoch 91 |   0.0332   |
|  epoch 92 |   0.0389   |
|  epoch 93 |   0.0355   |
|  epoch 94 |   0.0350   |
|  epoch 95 |   0.0323   |
|  epoch 96 |   0.0375   |
|  epoch 97 |   0.0363   |
|  epoch 98 |   0.0326   |
|  epoch 99 |   0.0285   |
| epoch 100 |   0.0269   |
| epoch 101 |   0.0253   |
| epoch 102 |   0.0308   |
| epoch 103 |   0.0421   |
| epoch 104 |   0.0348   |
| epoch 105 |   0.0313   |
| epoch 106 |   0.0284   |
| epoch 107 |   0.0253   |
| epoch 108 |   0.0294   |
| epoch 109 |   0.0289   |
| epoch 110 |   0.0309   |
| epoch 111 |   0.0312   |
| epoch 112 |   0.0262   |
| epoch 113 |   0.0237   |
| epoch 114 |   0.0200   |
| epoch 115 |   0.0264   |
| epoch 116 |   0.0300   |
| epoch 117 |   0.0222   |
| epoch 118 |   0.0314   |
| epoch 119 |   0.0279   |
| epoch 120 |   0.0307   |
| epoch 121 |   0.0287   |
| epoch 122 |   0.0286   |
| epoch 123 |   0.0225   |
| epoch 124 |   0.0197   |
| epoch 125 |   0.0224   |
| epoch 126 |   0.0261   |
| epoch 127 |   0.0297   |
| epoch 128 |   0.0260   |
| epoch 129 |   0.0248   |
| epoch 130 |   0.0257   |
| epoch 131 |   0.0221   |
| epoch 132 |   0.0231   |
| epoch 133 |   0.0197   |
| epoch 134 |   0.0225   |
| epoch 135 |   0.0229   |
| epoch 136 |   0.0249   |
| epoch 137 |   0.0208   |
| epoch 138 |   0.0205   |
| epoch 139 |   0.0220   |
| epoch 140 |   0.0233   |
| epoch 141 |   0.0208   |
| epoch 142 |   0.0208   |
| epoch 143 |   0.0233   |
| epoch 144 |   0.0198   |
| epoch 145 |   0.0179   |
| epoch 146 |   0.0217   |
| epoch 147 |   0.0214   |
| epoch 148 |   0.0240   |
| epoch 149 |   0.0270   |
| epoch 150 |   0.0199   |
+-----------+------------+
