+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6307   |
|  epoch 2  |   0.5464   |
|  epoch 3  |   0.5112   |
|  epoch 4  |   0.4968   |
|  epoch 5  |   0.4853   |
|  epoch 6  |   0.4752   |
|  epoch 7  |   0.4650   |
|  epoch 8  |   0.4567   |
|  epoch 9  |   0.4508   |
|  epoch 10 |   0.4468   |
|  epoch 11 |   0.4405   |
|  epoch 12 |   0.4353   |
|  epoch 13 |   0.4285   |
|  epoch 14 |   0.4254   |
|  epoch 15 |   0.4191   |
|  epoch 16 |   0.4126   |
|  epoch 17 |   0.4076   |
|  epoch 18 |   0.3991   |
|  epoch 19 |   0.3966   |
|  epoch 20 |   0.3875   |
|  epoch 21 |   0.3855   |
|  epoch 22 |   0.3749   |
|  epoch 23 |   0.3751   |
|  epoch 24 |   0.3633   |
|  epoch 25 |   0.3588   |
|  epoch 26 |   0.3548   |
|  epoch 27 |   0.3508   |
|  epoch 28 |   0.3438   |
|  epoch 29 |   0.3430   |
|  epoch 30 |   0.3341   |
|  epoch 31 |   0.3284   |
|  epoch 32 |   0.3213   |
|  epoch 33 |   0.3205   |
|  epoch 34 |   0.3121   |
|  epoch 35 |   0.3109   |
|  epoch 36 |   0.3046   |
|  epoch 37 |   0.3026   |
|  epoch 38 |   0.2955   |
|  epoch 39 |   0.2902   |
|  epoch 40 |   0.2851   |
|  epoch 41 |   0.2852   |
|  epoch 42 |   0.2759   |
|  epoch 43 |   0.2743   |
|  epoch 44 |   0.2677   |
|  epoch 45 |   0.2658   |
|  epoch 46 |   0.2592   |
|  epoch 47 |   0.2639   |
|  epoch 48 |   0.2589   |
|  epoch 49 |   0.2538   |
|  epoch 50 |   0.2467   |
|  epoch 51 |   0.2464   |
|  epoch 52 |   0.2423   |
|  epoch 53 |   0.2410   |
|  epoch 54 |   0.2356   |
|  epoch 55 |   0.2322   |
|  epoch 56 |   0.2337   |
|  epoch 57 |   0.2254   |
|  epoch 58 |   0.2291   |
|  epoch 59 |   0.2234   |
|  epoch 60 |   0.2205   |
|  epoch 61 |   0.2191   |
|  epoch 62 |   0.2184   |
|  epoch 63 |   0.2129   |
|  epoch 64 |   0.2104   |
|  epoch 65 |   0.2126   |
|  epoch 66 |   0.2109   |
|  epoch 67 |   0.1975   |
|  epoch 68 |   0.1992   |
|  epoch 69 |   0.1990   |
|  epoch 70 |   0.1925   |
|  epoch 71 |   0.1933   |
|  epoch 72 |   0.1957   |
|  epoch 73 |   0.1919   |
|  epoch 74 |   0.1865   |
|  epoch 75 |   0.1801   |
|  epoch 76 |   0.1801   |
|  epoch 77 |   0.1813   |
|  epoch 78 |   0.1813   |
|  epoch 79 |   0.1736   |
|  epoch 80 |   0.1746   |
|  epoch 81 |   0.1752   |
|  epoch 82 |   0.1702   |
|  epoch 83 |   0.1681   |
|  epoch 84 |   0.1740   |
|  epoch 85 |   0.1665   |
|  epoch 86 |   0.1619   |
|  epoch 87 |   0.1592   |
|  epoch 88 |   0.1624   |
|  epoch 89 |   0.1574   |
|  epoch 90 |   0.1572   |
|  epoch 91 |   0.1573   |
|  epoch 92 |   0.1537   |
|  epoch 93 |   0.1551   |
|  epoch 94 |   0.1472   |
|  epoch 95 |   0.1470   |
|  epoch 96 |   0.1462   |
|  epoch 97 |   0.1425   |
|  epoch 98 |   0.1385   |
|  epoch 99 |   0.1423   |
| epoch 100 |   0.1385   |
| epoch 101 |   0.1383   |
| epoch 102 |   0.1400   |
| epoch 103 |   0.1395   |
| epoch 104 |   0.1370   |
| epoch 105 |   0.1330   |
| epoch 106 |   0.1293   |
| epoch 107 |   0.1308   |
| epoch 108 |   0.1315   |
| epoch 109 |   0.1230   |
| epoch 110 |   0.1277   |
| epoch 111 |   0.1276   |
| epoch 112 |   0.1225   |
| epoch 113 |   0.1213   |
| epoch 114 |   0.1223   |
| epoch 115 |   0.1208   |
| epoch 116 |   0.1182   |
| epoch 117 |   0.1136   |
| epoch 118 |   0.1125   |
| epoch 119 |   0.1147   |
| epoch 120 |   0.1118   |
| epoch 121 |   0.1145   |
| epoch 122 |   0.1129   |
| epoch 123 |   0.1057   |
| epoch 124 |   0.1103   |
| epoch 125 |   0.1050   |
| epoch 126 |   0.1101   |
| epoch 127 |   0.1080   |
| epoch 128 |   0.1033   |
| epoch 129 |   0.1049   |
| epoch 130 |   0.1034   |
| epoch 131 |   0.1071   |
| epoch 132 |   0.0958   |
| epoch 133 |   0.1014   |
| epoch 134 |   0.0948   |
| epoch 135 |   0.0979   |
| epoch 136 |   0.0955   |
| epoch 137 |   0.0973   |
| epoch 138 |   0.0905   |
| epoch 139 |   0.0923   |
| epoch 140 |   0.0934   |
| epoch 141 |   0.0952   |
| epoch 142 |   0.0886   |
| epoch 143 |   0.0884   |
| epoch 144 |   0.0874   |
| epoch 145 |   0.0890   |
| epoch 146 |   0.0875   |
| epoch 147 |   0.0861   |
| epoch 148 |   0.0864   |
| epoch 149 |   0.0876   |
| epoch 150 |   0.0878   |
+-----------+------------+
